Id,Name,AccountId,StageName,Amount,Probability,CloseDate,Type,LeadSource,IsClosed,IsWon,ForecastCategory,CreatedDate,LastModifiedDate,SystemModstamp
0061234567890BBBB1,Cloud Migration Project,0011234567890AAAA1,Proposal/Price Quote,250000,60,2025-03-15,New Business,Web,false,false,Pipeline,2024-11-10T09:00:00.000Z,2025-01-05T14:30:00.000Z,2025-01-05T14:30:00.000Z
0061234567890BBBB2,Enterprise License Renewal,0011234567890AAAA2,Closed Won,180000,100,2024-12-20,Existing Business,Referral,true,true,Closed,2024-09-15T10:20:00.000Z,2024-12-20T16:45:00.000Z,2024-12-20T16:45:00.000Z
0061234567890BBBB3,Digital Transformation,0011234567890AAAA3,Needs Analysis,420000,40,2025-05-30,New Business,Conference,false,false,Pipeline,2024-12-01T11:15:00.000Z,2025-01-08T10:25:00.000Z,2025-01-08T10:25:00.000Z
0061234567890BBBB4,POS System Upgrade,0011234567890AAAA4,Negotiation/Review,95000,75,2025-02-28,Existing Business,Web,false,false,Commit,2024-10-20T13:30:00.000Z,2025-01-06T15:20:00.000Z,2025-01-06T15:20:00.000Z
0061234567890BBBB5,Trading Platform Implementation,0011234567890AAAA5,Closed Won,850000,100,2024-11-30,New Business,Employee Referral,true,true,Closed,2024-06-10T09:45:00.000Z,2024-11-30T14:10:00.000Z,2024-11-30T14:10:00.000Z
0061234567890BBBB6,Learning Management System,0011234567890AAAA6,Qualification,125000,30,2025-06-15,New Business,Partner,false,false,Pipeline,2024-11-25T10:50:00.000Z,2025-01-07T11:40:00.000Z,2025-01-07T11:40:00.000Z
0061234567890BBBB7,Smart Grid Deployment,0011234567890AAAA7,Id. Decision Makers,520000,50,2025-04-20,New Business,Trade Show,false,false,Best Case,2024-10-05T14:15:00.000Z,2025-01-04T13:55:00.000Z,2025-01-04T13:55:00.000Z
0061234567890BBBB8,Fleet Management Software,0011234567890AAAA8,Value Proposition,310000,45,2025-03-31,Existing Business,Web,false,false,Pipeline,2024-11-12T11:30:00.000Z,2025-01-09T10:15:00.000Z,2025-01-09T10:15:00.000Z
0061234567890BBBB9,Supply Chain Analytics,0011234567890AAAA9,Prospecting,155000,20,2025-07-15,New Business,Cold Call,false,false,Pipeline,2024-12-15T09:20:00.000Z,2025-01-03T14:45:00.000Z,2025-01-03T14:45:00.000Z
0061234567890BBB10,Startup Package,0011234567890AAA10,Closed Lost,45000,0,2024-12-31,New Business,Web,true,false,Omitted,2024-09-20T13:40:00.000Z,2024-12-31T16:20:00.000Z,2024-12-31T16:20:00.000Z
