Id,Name,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,CreatedDate,LastModifiedDate,SystemModstamp
0011234567890AAAA1,Acme Corporation,Customer - Direct,Technology,50000000,500,123 Market St,San Francisco,CA,94105,USA,415-555-0001,www.acmecorp.com,2023-01-15T10:30:00.000Z,2024-06-20T14:22:00.000Z,2024-06-20T14:22:00.000Z
0011234567890AAAA2,Global Innovations Inc,Customer - Direct,Manufacturing,120000000,1200,456 Industrial Pkwy,Detroit,MI,48201,USA,313-555-0002,www.globalinnovations.com,2023-02-10T09:15:00.000Z,2024-07-15T11:30:00.000Z,2024-07-15T11:30:00.000Z
0011234567890AAAA3,Sunrise Healthcare,Customer - Direct,Healthcare,75000000,850,789 Medical Plaza,Boston,MA,02108,USA,617-555-0003,www.sunrisehealthcare.com,2023-03-22T13:45:00.000Z,2024-08-10T09:18:00.000Z,2024-08-10T09:18:00.000Z
0011234567890AAAA4,Pacific Retail Solutions,Customer - Channel,Retail,35000000,420,321 Commerce Blvd,Seattle,WA,98101,USA,206-555-0004,www.pacificretail.com,2023-04-05T08:20:00.000Z,2024-09-05T16:45:00.000Z,2024-09-05T16:45:00.000Z
0011234567890AAAA5,Sterling Financial Group,Customer - Direct,Finance,200000000,2500,100 Wall Street,New York,NY,10005,USA,212-555-0005,www.sterlingfinancial.com,2023-01-28T11:00:00.000Z,2024-10-12T10:20:00.000Z,2024-10-12T10:20:00.000Z
0011234567890AAAA6,EduTech Solutions,Prospect,Education,15000000,180,555 University Ave,Austin,TX,78701,USA,512-555-0006,www.edutechsolutions.com,2023-05-18T14:30:00.000Z,2024-11-01T13:15:00.000Z,2024-11-01T13:15:00.000Z
0011234567890AAAA7,GreenEnergy Partners,Customer - Direct,Energy,95000000,650,777 Sustainability Dr,Portland,OR,97201,USA,503-555-0007,www.greenenergy.com,2023-06-12T10:45:00.000Z,2024-11-15T08:30:00.000Z,2024-11-15T08:30:00.000Z
0011234567890AAAA8,Metro Transportation Co,Customer - Direct,Transportation,60000000,800,888 Transit Way,Chicago,IL,60601,USA,312-555-0008,www.metrotrans.com,2023-07-20T09:00:00.000Z,2024-12-01T15:40:00.000Z,2024-12-01T15:40:00.000Z
0011234567890AAAA9,FoodService Distributors,Channel Partner / Reseller,Food & Beverage,45000000,550,999 Supply Chain Rd,Atlanta,GA,30301,USA,404-555-0009,www.foodservicedist.com,2023-08-08T12:15:00.000Z,2024-12-10T11:25:00.000Z,2024-12-10T11:25:00.000Z
0011234567890AAA10,TechStart Ventures,Prospect,Technology,5000000,45,222 Innovation Ln,Palo Alto,CA,94301,USA,650-555-0010,www.techstart.com,2024-01-10T10:00:00.000Z,2025-01-05T09:15:00.000Z,2025-01-05T09:15:00.000Z
